Query.Mass,Matched.Compound,Matched.Form,Retention.Time,Mass.Diff,Empirical.Compound
297.2785,C00174,M+H[1+],4.67,0.000306866569985687,EC00028
297.2786,C00174,M+H[1+],6.35,0.000206866570010789,EC00029
297.27861,C00174,M+H[1+],5.12,0.000196866569979193,EC00028
297.2787,C00174,M+H[1+],4.83,0.000106866569979047,EC00028
297.2788,C00174,M+H[1+],5.37,6.86657000414925e-06,EC00028
298.2828,C00174,M(C13)+H[1+],5.36,0.000593133430015769,EC00028
315.2889,C00174,M+H2O+H[1+],5.14,0.000506866569992326,EC00028
315.2892,C00174,M+H2O+H[1+],5.61,0.000206866570010789,EC00028
315.28922,C00174,M+H2O+H[1+],4.83,0.00018686657000444,EC00028
315.2894,C00174,M+H2O+H[1+],5.3,6.86657000414925e-06,EC00028
365.2655,C00174,M+HCOONa[1+],5.55,0.000706866569998965,EC00028
365.2656,C00174,M+HCOONa[1+],3.95,0.000606866569967224,EC00028
365.26561,C00174,M+HCOONa[1+],5.09,0.000596866569992471,EC00028
365.2659,C00174,M+HCOONa[1+],4.44,0.000306866569985687,EC00028
365.2662,C00174,M+HCOONa[1+],5,6.86656994730583e-06,EC00028
365.2665,C00174,M+HCOONa[1+],3.7,0.000293133430034231,EC00028
381.2396,C00174,M+HCOOK[1+],3.93,0.000506866569992326,EC00028
381.2398,C00174,M+HCOOK[1+],4.18,0.000306866569985687,EC00028
381.23986,C00174,M+HCOOK[1+],4.45,0.000246866569966642,EC00028
381.23989,C00174,M+HCOOK[1+],5.54,0.000216866569985541,EC00028
381.2399,C00174,M+HCOOK[1+],5.09,0.000206866570010789,EC00028
381.24,C00174,M+HCOOK[1+],5.24,0.000106866569979047,EC00028
369.3513,C00187,M-H2O+H[1+],6.28,0.000276466770003481,EC00031
369.3514,C00187,M-H2O+H[1+],11.89,0.000176466769971739,EC00032
369.35141,C00187,M-H2O+H[1+],12.19,0.000166466769996987,EC00032
369.35146,C00187,M-H2O+H[1+],6.02,0.000116466770009538,EC00031
369.3515,C00187,M-H2O+H[1+],7.63,7.64667699968413e-05,EC00033
369.35152,C00187,M-H2O+H[1+],12.52,5.6466769990493e-05,EC00032
369.351528,C00187,M-H2O+H[1+],10.82,4.84667700106911e-05,EC00034
369.3516,C00187,M-H2O+H[1+],7.35,2.35332300349e-05,EC00033
369.35161,C00187,M-H2O+H[1+],9.21,3.35332300096525e-05,EC00035
369.3517,C00187,M-H2O+H[1+],8.74,0.000123533230009798,EC00036
387.362,C00187,M+H[1+],7.63,0.000176466769971739,EC00033
387.3621,C00187,M+H[1+],6.19,7.64667699968413e-05,EC00031
387.3623,C00187,M+H[1+],5.74,0.000123533230009798,EC00031
387.36239,C00187,M+H[1+],8.73,0.000213533230009944,EC00036
387.3625,C00187,M+H[1+],7.34,0.000323533230016437,EC00033
387.3628,C00187,M+H[1+],8.2,0.000623533229997975,EC00037
405.3726,C00187,M+H2O+H[1+],7.4,0.000176466770028583,EC00033
409.3436,C00187,M+Na[1+],4.05,0.000576466770041861,EC00031
409.3441,C00187,M+Na[1+],7.63,7.64667699968413e-05,EC00033
409.345,C00187,M+Na[1+],4.3,0.000823533230004614,EC00031
409.3452,C00187,M+Na[1+],7.34,0.00102353322995441,EC00033
409.3453,C00187,M+Na[1+],4.57,0.00112353322998615,EC00031
409.3456,C00187,M+Na[1+],4.19,0.00142353322996769,EC00031
409.3458,C00187,M+Na[1+],5.62,0.00162353322997433,EC00031
425.3179,C00187,M+K[1+],7.63,0.000223533230041539,EC00033
455.3495,C00187,M+HCOONa[1+],6.88,7.64667699968413e-05,EC00033
455.34952,C00187,M+HCOONa[1+],6.25,5.6466769990493e-05,EC00031
455.3497,C00187,M+HCOONa[1+],5.92,0.000123533230009798,EC00031
455.34972,C00187,M+HCOONa[1+],7.1,0.000143533230016146,EC00033
455.3503,C00187,M+HCOONa[1+],4.77,0.000723533230029716,EC00031
455.3507,C00187,M+HCOONa[1+],5.58,0.00112353323004299,EC00031
455.3514,C00187,M+HCOONa[1+],4.95,0.00182353323003781,EC00031
455.3515,C00187,M+HCOONa[1+],5.42,0.00192353323001271,EC00031
455.35152,C00187,M+HCOONa[1+],4.38,0.00194353323001906,EC00031
455.35156,C00187,M+HCOONa[1+],4.57,0.00198353323003175,EC00031
455.3517,C00187,M+HCOONa[1+],4.27,0.00212353323001935,EC00031
471.3235,C00187,M+HCOOK[1+],5.15,2.35332300349e-05,EC00031
471.3237,C00187,M+HCOOK[1+],5.92,0.000223533229984696,EC00031
471.32379,C00187,M+HCOOK[1+],6.26,0.000313533229984841,EC00031
471.3238,C00187,M+HCOOK[1+],6.88,0.000323533230016437,EC00033
446.4353,C00195,M-H4O2+H[1+],7.89,0.000269466770021154,EC00038
446.4354,C00195,M-H4O2+H[1+],8.15,0.000169466769989413,EC00038
464.4465,C00195,M-H2O+H[1+],7.27,0.000330533229998764,EC00039
