m.z,rt,p.value,t.score
214.1741,1.51,0.996438959772419,-0.00221766666666664
330.2276,1.51,0.0106543946694971,1.28004766666667
231.1125,1.52,0.591789908257303,-0.259673333333334
309.1737,1.53,0.176805933677072,1.59126466666666
327.2012,1.53,0.784031413680801,-0.156060666666667
344.2278,1.53,0.757259928032222,-0.114771333333333
214.1219,1.54,0.842873669282013,-0.136267000000002
214.1267,1.57,0.0520715098133677,0.433457833333332
214.172,1.57,0.0360327903749756,0.334527333333332
541.338,1.62,0.483129869041693,-0.400698833333335
438.9716,1.71,0.093508217622279,1.21561766666666
214.1223,1.72,0.983225481201239,0.0203701666666664
416.0451,1.73,0.530436502792584,0.452737333333333
214.0032,1.77,0.089030493898089,0.715425166666666
414.0481,1.77,0.403902224740054,0.630133333333333
434.9776,1.77,0.460363554592643,0.641540333333332
419.0035,1.78,0.319438459306896,0.538703333333332
421.0005,1.78,0.542072420898486,0.432126499999999
436.9746,1.78,0.279837347441366,0.833073333333331
214.1721,1.85,0.0298752042398125,0.350301333333333
214.1744,1.9,0.68250576223884,-0.171450666666667
214.1716,1.92,0.0911164851697777,0.3908925
245.1861,1.92,0.613384756799087,0.277566333333332
298.2739,1.94,0.0778114400176304,0.440245666666667
214.1213,1.96,0.748924814430537,-0.344985833333335
214.1721,1.96,0.0321220144579432,0.351911499999999
278.1742,1.99,0.0434450044074379,1.26799983333333
371.2278,2.01,0.352456011329225,-0.700168333333332
388.254,2.01,0.252810303034135,-0.507475999999998
409.1834,2.01,0.456768021873645,-0.585787666666666
214.1207,2.03,0.4324615584265,0.986231000000001
213.16,2.04,0.00599045638157208,0.523102833333333
214.1216,2.1,0.813669758831679,0.215564833333334
330.2277,2.12,0.031488794244718,1.44333516666667
293.1794,2.13,0.310380488112484,1.2017245
458.2648,2.13,0.794740435928651,0.332961499999998
276.158,2.15,0.931815313424862,-0.109794666666669
369.0732,2.16,0.08925263095458,-0.8199695
446.2598,2.16,0.754672866139606,-0.286695333333334
276.6597,2.17,0.624283548097958,-0.537847666666667
332.1067,2.17,0.889708660818431,0.226936833333334
370.1042,2.17,0.0592052269851309,0.437681333333333
438.2391,2.17,0.921672051055119,-0.113280000000001
214.0581,2.18,0.853921005052424,-0.264862
214.1205,2.18,0.722631601332002,-0.295669833333334
403.2701,2.18,0.406714059060934,-0.826541166666667
436.2239,2.18,0.299258950889633,1.08197216666667
495.2967,2.18,0.79887481739209,0.255872666666667
472.2754,2.19,0.35483185229301,-0.648952
