"p.value","m.z","t.score","r.t"
0.779729593403625,924.6598,0.327245000000003,8.53
0.0359533998597558,535.4693,-1.30702666666667,8.54
0.428316683110599,538.5207,1.43078466666667,8.54
0.193109695371177,551.4422,-0.918148166666668,8.54
0.860986632684632,560.5025,-0.165294333333333,8.54
0.344764003913149,590.4916,-0.458996666666669,8.54
0.218635736596355,591.3147,0.729587,8.54
0.647052319782863,620.5042,0.307558166666666,8.54
0.874809629429622,620.5082,-0.104356666666669,8.54
0.253743201316088,625.4593,-0.654210000000003,8.54
0.801411615317154,663.5538,0.225972666666666,8.54
0.67536749498084,679.5326,-0.216885333333335,8.54
0.0339338895141152,700.5874,1.74057266666667,8.54
0.99454670833594,705.5464,-0.00516666666666735,8.54
0.253408691178091,761.5695,0.678565833333332,8.54
0.74884055005554,565.5195,0.552222500000001,8.55
0.0778114400176304,574.5167,-0.798825833333336,8.55
0.450989495357957,623.4432,-0.626985333333334,8.55
0.595983122184486,640.5375,0.291855333333331,8.55
0.0557777724939874,641.4537,1.27073766666667,8.55
0.032878505308438,699.4935,1.90730166666667,8.55
0.976628244312413,739.5827,0.0246936666666662,8.55
0.82697976997834,821.583,0.1708415,8.55
0.242772414573073,216.9222,0.365303666666667,8.56
0.95601354421709,517.4392,-0.0424568333333353,8.56
0.115290241077008,539.4934,1.3796105,8.56
0.0944904661092088,572.5612,1.45235733333334,8.56
0.680159985825269,582.5456,0.331594999999999,8.56
0.203984054882845,589.5157,-0.8548205,8.56
0.370221195434413,593.4917,-0.469733333333334,8.56
0.194036253194385,598.5208,-0.686797833333333,8.56
0.794449187733853,603.477,0.290142666666665,8.56
0.0914305797131441,620.5572,-1.23475633333334,8.56
0.934886939563865,621.4851,-0.0774453333333344,8.56
0.388418110934375,628.5073,-0.553408500000001,8.56
0.117487845383768,779.2511,-1.03358566666667,8.56
0.702825942596081,780.595,0.275276,8.56
0.736311425914491,805.6096,0.304334999999997,8.56
0.276519489694816,883.6448,0.894033000000002,8.56
0.49959295256639,533.4124,0.328311000000001,8.57
0.581408145942014,535.4128,0.243744666666667,8.57
0.261520652165769,588.6959,-0.659250666666668,8.57
0.884227233388393,622.4481,0.132675666666668,8.57
0.777781064676382,679.5538,-0.511513500000002,8.57
0.456223002520096,693.4857,-0.386384000000001,8.57
0.134851930619592,736.6049,-1.36371466666667,8.57
0.607929942942804,777.5463,0.333735166666666,8.57
0.109659202345344,793.5206,1.01598416666666,8.57
0.760494493297775,869.6309,-0.167003,8.57
0.138397380445936,889.583,0.928096166666664,8.57
0.206176310509337,214.9177,0.350639333333333,8.58
